word,rt,correct
absolute,839.1614153011233,1
absolute,775.6635698828816,1
absolute,766.0746625276664,1
absolute,766.076304305082,1
absolute,947.4112815507392,1
absolute,866.2334729152909,1
absolute,742.5425614065048,1
absolute,843.7460043585965,1
absolute,813.6862271566034,1
absolute,598.1619755342202,1
absolute,688.2068879665576,1
absolute,820.9147332595275,1
absolute,936.0548768921554,1
absolute,766.9123699513465,1
absolute,735.0517275474817,1
absolute,800.5822589709866,1
absolute,729.4261310081195,1
absolute,760.3206250206723,1
absolute,788.1402775262067,1
absolute,683.71890710441,1
accrue,962.0444912103188,1
accrue,757.7056350028978,0
accrue,746.9713951101569,0
accrue,899.4761235869123,0
accrue,953.6366579995411,1
accrue,896.926828118997,1
accrue,868.225171761176,1
accrue,849.6796304410711,1
accrue,833.7261229040212,1
accrue,985.5022226218915,0
accrue,912.1983969394795,1
accrue,841.2817719583683,0
accrue,812.097799969404,1
accrue,940.9576288840867,0
accrue,982.889952249595,0
accrue,972.9180119116198,1
accrue,795.8682476777361,0
accrue,848.8687624148785,0
accrue,831.872576215471,1
accrue,861.2241023336182,1
acid,874.0825822394198,1
acid,928.4540028570823,1
acid,828.9936025047634,1
acid,728.3180245394876,1
acid,789.2473960890048,1
acid,949.2943655814006,1
acid,801.5347068238171,1
acid,762.9292649534133,1
acid,770.8628112162488,1
acid,828.5412571511747,1
acid,711.9806397106813,0
acid,742.6542956415464,1
acid,884.3702117702074,1
acid,825.7051109659685,1
acid,802.5377549348041,1
acid,889.694499053289,0
acid,722.6246906122648,1
acid,760.0637853402233,1
acid,822.4420277064577,1
acid,818.9355272179889,1
admiral,855.4629257949586,1
admiral,954.9354677234641,1
admiral,980.8714288333991,0
admiral,1037.4050856814538,0
admiral,1022.7550390722764,0
admiral,989.5554084233833,1
admiral,805.1228784700959,1
admiral,994.3486124550783,1
admiral,1003.0230209941027,1
admiral,1243.3242112485286,1
admiral,977.7639035218878,1
admiral,1027.1547342333613,0
admiral,1111.282281451502,1
admiral,1072.1933032686775,0
admiral,1137.27943109361,0
admiral,856.8148937207719,0
admiral,897.9463674869312,1
admiral,940.3702270397229,0
admiral,841.9336568933867,0
admiral,1003.8562974806027,1
affair,623.1575765766197,0
affair,870.093440501754,1
affair,636.7746707663763,1
affair,682.8938483794325,1
affair,796.451721736967,1
affair,592.0135683566045,1
affair,554.3516765438773,1
affair,733.5633858532304,1
affair,741.0882794248424,1
affair,793.2822871777311,1
affair,767.2941565616898,1
affair,744.7984673233186,1
affair,647.097527842151,1
affair,738.3253697161003,1
affair,744.4072473298681,1
affair,643.6648581973633,1
affair,901.6774511144757,1
affair,762.4832920911788,1
affair,617.6318329772679,1
affair,793.8084603742452,1
again,704.8576129244321,1
again,649.7980926936498,1
again,583.9811883997129,1
again,533.146383564251,1
again,600.8098290585896,1
again,642.6351974816644,1
again,609.8201891877907,1
again,753.8734077157317,1
again,671.0867347765006,1
again,522.8042443583718,1
again,501.43075019388874,1
again,656.7672415243185,1
again,586.1737214674149,1
again,679.9200494092091,1
again,655.8437624573545,1
again,601.2371087343128,1
again,523.8406281931594,1
again,457.0352775314135,1
again,629.9293744130204,1
again,483.94612212880116,1
against,595.3142563798867,1
against,699.0725105945528,0
against,689.5208718446,1
against,569.4029702169378,1
against,792.0051243175277,1
against,789.0802052034903,1
against,735.203526720866,1
against,735.0785950912209,1
against,735.2047686306048,1
against,1068.9731490654722,1
against,779.1001763493202,1
against,748.8391251305799,1
against,606.4174785462428,1
against,660.0181393259992,1
against,915.1658566673509,1
against,496.9734807408252,1
against,636.5068134210567,1
against,792.5950596967367,1
against,612.1696290740032,1
against,751.6597748934677,1
agreed,694.3671839903814,1
agreed,624.6499652394183,1
agreed,487.2957413342392,1
agreed,708.4554314769427,1
agreed,610.5579261567299,1
agreed,678.33635585331,0
agreed,740.3087278980456,1
agreed,776.3855194170121,1
agreed,642.3154688839044,1
agreed,624.4770767426288,1
agreed,563.7216045664954,0
agreed,781.5961947054775,1
agreed,902.0256197012633,1
agreed,793.0565260551147,1
agreed,816.5011149186622,1
agreed,619.0430534381219,1
agreed,734.1919428146227,1
agreed,767.2734053429336,1
agreed,365.6832659930927,1
agreed,587.3712358665709,1
allowed,833.6011303931635,1
allowed,527.3458622039367,1
allowed,814.4873289066115,1
allowed,526.773784882056,1
allowed,572.2091348952049,1
allowed,716.5703474263271,1
allowed,677.3402084990018,1
allowed,631.828640313824,1
allowed,828.9616816145352,1
allowed,546.5784501173151,1
allowed,655.1814904964417,1
allowed,729.1917206484576,1
allowed,698.4591867735032,1
allowed,608.0900480179406,1
allowed,611.4235243055789,1
allowed,755.3202097021025,1
allowed,760.319987543325,1
allowed,701.0899520876609,1
allowed,587.4604989077927,1
allowed,614.3418959803031,1
amazement,892.1798406035851,1
amazement,906.0027383308782,1
amazement,948.9797381170038,1
amazement,874.0507347566106,1
amazement,976.8116348988029,1
amazement,975.6209636000639,1
amazement,1024.817880715433,1
amazement,896.3703841632758,1
amazement,926.6866352488441,0
amazement,881.2556945632315,1
amazement,812.4479316766527,1
amazement,1103.508727568546,1
amazement,1010.0810873500068,1
amazement,973.4362693962936,1
amazement,893.0453227153085,1
amazement,804.5445628514168,1
amazement,991.7819733417751,1
amazement,879.5642618497861,1
amazement,935.5631454275624,1
amazement,837.8975447196025,1
American,725.8466571108723,1
American,650.6556824628871,1
American,654.2461694381677,1
American,724.5549937357637,1
American,556.5415658502676,1
American,560.6036225623445,1
American,629.5055778747565,1
American,680.0052848288153,1
American,787.115962320202,1
American,685.3561470036573,1
American,699.498686400761,1
American,672.4841361079863,1
American,733.621856033809,1
American,618.6269056447677,1
American,690.4739851543143,1
American,741.5211722098942,1
American,723.7592481810417,1
American,702.6092400781795,1
American,703.8010174258943,1
American,751.149829124545,1
analysis,1002.6582457511556,1
analysis,710.605243711195,1
analysis,1006.3202933217673,1
analysis,706.5101714644849,1
analysis,574.9504275690193,1
analysis,734.7644978319239,1
analysis,821.515597577716,1
analysis,974.9570839215886,1
analysis,697.4985328651643,1
analysis,836.5319171506507,1
analysis,655.3166792979358,1
analysis,970.4858765854354,1
analysis,905.2840120721287,0
analysis,740.4224347895296,1
analysis,616.0265470909122,1
analysis,922.7272374165414,1
analysis,775.8860154747382,1
analysis,911.1216311973462,1
analysis,787.8643699718184,1
analysis,792.0380593764743,1
anchor,847.4934528520756,1
anchor,954.7849932347499,1
anchor,904.5295631711899,1
anchor,943.9438834058749,0
anchor,739.0885829264378,1
anchor,1020.2676821898509,0
anchor,1047.6151975522523,1
anchor,904.0674634292859,0
anchor,1098.5747924881987,0
anchor,1068.0340842443204,1
anchor,957.0375949585148,0
anchor,1029.3631557532349,1
anchor,998.3424486849588,1
anchor,716.6260513576885,1
anchor,865.5593165555442,1
anchor,964.2542255795962,0
anchor,1055.3615545571292,0
anchor,754.4898541785109,0
anchor,722.1617560644845,1
anchor,886.9452301103381,0
angriest,948.0557899960123,1
angriest,1145.887996048721,1
angriest,1191.4598246096848,1
angriest,1060.8120213672644,1
angriest,1148.5320902726828,0
angriest,1250.3142320501238,1
angriest,1101.7742381627559,1
angriest,1075.5127167737655,1
angriest,1144.0969640045441,1
angriest,1051.2757677580626,1
angriest,1351.272513291639,1
angriest,1158.326355197173,0
angriest,1084.8274492007415,0
angriest,1176.1979910734221,0
angriest,1143.567195030917,0
angriest,1132.7030400466776,0
angriest,1101.7498852389472,1
angriest,1097.218175935532,1
angriest,1003.2808937801448,1
angriest,1291.4874267444525,0
announces,981.1456963055766,1
announces,954.6150154543536,1
announces,910.6982408519234,1
announces,827.9359559399575,1
announces,847.8549254715697,1
announces,781.2646290402326,1
announces,858.8327115757473,1
announces,815.3351996385605,1
announces,1092.2041635072565,1
announces,1011.6539756949451,1
announces,931.2268307647619,1
announces,837.3615798671736,1
announces,819.7653845673543,1
announces,904.4561321916392,1
announces,1016.1077547531642,1
announces,1114.431664047013,0
announces,783.6332426180859,1
announces,979.786923669057,1
announces,858.4257430878173,1
announces,874.7774616235304,1
another,658.9321627944828,1
another,570.9849883588963,1
another,630.185195313359,1
another,563.3236337958402,1
another,596.4028669431667,1
another,729.6191225825756,1
another,664.0132305429227,1
another,729.218712337179,1
another,587.8176241054153,1
another,711.1398668593159,1
another,491.32575621168377,1
another,658.8884946661383,1
another,717.9392458777374,1
another,487.92799377310405,1
another,588.8963892197842,1
another,658.8198671316414,1
another,754.7092809214441,1
another,596.3908130476851,1
another,707.0604177915283,1
another,798.2368620657901,1
arisen,1003.357212718054,1
arisen,925.3454613957007,0
arisen,982.7645873371308,0
arisen,885.2514813284179,1
arisen,954.30897874729,1
arisen,930.0822764607921,1
arisen,979.4102662075202,1
arisen,904.4623033877532,1
arisen,985.0952142378296,1
arisen,903.5515519179737,1
arisen,1032.7624703431693,1
arisen,913.0476467832159,1
arisen,741.8375464822146,1
arisen,844.8413689082596,1
arisen,947.4918379189552,1
arisen,1113.2937312275283,0
arisen,1028.5905581183488,0
arisen,724.5364690992114,1
arisen,797.7913754220158,1
arisen,1060.0254043206928,1
ashes,901.6281866106285,0
ashes,1065.4192857804396,0
ashes,792.4139100459756,1
ashes,753.3655630535209,0
ashes,845.5066237219393,0
ashes,790.5842553234884,0
ashes,942.10399442579,1
ashes,787.3483601145253,0
ashes,811.3625064706629,0
ashes,740.4736284217693,1
ashes,914.0488616645353,1
ashes,746.1334675822375,1
ashes,879.69349032237,1
ashes,1026.0295812558065,1
ashes,660.4779751095722,1
ashes,987.9544311489183,0
ashes,866.346862631982,1
ashes,725.8010952701624,1
ashes,849.2894794604894,1
ashes,910.9266623898693,0
assign,749.0725544554688,1
assign,875.2668357135996,1
assign,987.4386626639397,0
assign,776.9984323568815,0
assign,729.1595179741419,0
assign,815.5413079900352,0
assign,833.6924912288695,1
assign,937.5391518470949,1
assign,812.319210142101,1
assign,785.431893005258,1
assign,726.9095624739832,1
assign,662.634332813423,0
assign,699.1239100258946,1
assign,698.6121227936384,1
assign,802.1608648636395,1
assign,677.8057046881894,1
assign,558.4313357058428,0
assign,822.6905133482188,1
assign,1013.0156094945345,1
assign,940.7765029547758,1
atmosphere,823.081130944517,1
atmosphere,739.317409125833,0
atmosphere,1107.305980324986,1
atmosphere,855.8918434014489,1
atmosphere,869.7784760767855,1
atmosphere,835.5339588076057,1
atmosphere,846.6946729784001,1
atmosphere,795.6275228866235,1
atmosphere,824.4722782579145,1
atmosphere,1000.3692988582688,1
atmosphere,974.578519249763,1
atmosphere,642.630976759185,1
atmosphere,709.218830528218,1
atmosphere,772.1883312409125,1
atmosphere,943.5378393147462,1
atmosphere,977.1255094994159,1
atmosphere,922.1372064043235,1
atmosphere,737.0648228782771,1
atmosphere,797.5179733720227,1
atmosphere,898.9074561227918,1
attempt,677.2374601841865,1
attempt,663.7879192450403,1
attempt,665.173383418092,1
attempt,817.2029803364248,1
attempt,760.5801257968384,1
attempt,670.315356068601,1
attempt,733.8833022242118,1
attempt,576.1586423614697,1
attempt,648.9976979480961,1
attempt,806.1709225836889,1
attempt,545.6070826476096,1
attempt,761.8709951345639,1
attempt,493.0770592116278,1
attempt,870.9156368290038,1
attempt,646.778091319105,1
attempt,741.183611435207,1
attempt,712.6927648662039,1
attempt,716.3001761461877,1
attempt,732.0501768892059,1
