,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,responses,correct,choices,correct_choice,trial_duration,response_ends_trial,number_of_apertures,number_of_dots,number_of_sets,coherent_direction,coherence,opposite_coherence,dot_radius,dot_life,move_distance,aperture_width,aperture_height,dot_color,background_color,RDK_type,aperture_type,reinsert_type,frame_rate,frame_rate_array,number_of_frames,aperture_center_x,aperture_center_y,fixation_cross,fixation_cross_width,fixation_cross_height,fixation_cross_color,fixation_cross_thickness,border,colour_config,rotation_config,border_color,canvas_width,canvas_height,stair_coh1,stair_coh2
0,pavlovia,0,4,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,html-keyboard-response,1,21017,0.0-1.0,21012.0,"<div style='background: #d3d3d3;padding: 20px;'><h3> Welcome to the online experiment </h3><p>Sit down comfortably in front of your computer.</p><p>The whole experiment should take about 45 minutes with short breaks. The experiment consists of two parts.</p><p><b>Part 1</b> is shorter and tests whether you qualify to take part in the next part of the experiment.</p><p><b>Part 2</b> is longer. During part 2 you will be also given some breaks.</p><p>You can take as much time as needed during the breaks, but the total time limit for the experiment is  125 minutes.</p>Press <b>SPACE</b> to proceed</div>",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,html-keyboard-response,2,25304,0.0-2.0,4287.0,"<div style='background: #d3d3d3;padding: 20px; font-size: 14px;'><h2>General information sheet</h4><b>Introduction.</b> You are being invited to take part in a research study. Before you decide it is important for you to understand why the research is being done and what it will involve. Please take time to read the following information carefully and discuss it with others if you wish. You are free to take as much time as you like to decide whether you wish to participate.<br><b>What is the purpose of the study?</b> The aim of this research is to understand more about how the human brain makes simple decisions.<br><b>Why have I been chosen?</b> As a volunteer you responded to our request for healthy adult subjects to participate in the study.<br><b>Who is organizing this study?</b> This study is organized by researchers at the School of Psychology, Cardiff University.<br><b>Do I have to take part?</b> It is up to you to decide whether or not to take part. If you do decide to take part, you will be asked to sign the consent form on the next page. If you decide to take part, you are still free to withdraw at any time and without giving a reason.<br><b>What does the general procedure involve?</b> Participants will be invited to complete some surveys and behavioural experiments online, using a computer with internet access and a keyboard or a mouse to respond. You would perform some psychological tests of decision making, after careful instruction and a chance to practice. Typically, participants would see dots moving on the screen and they have to decide towards which platform (red or blue) the dots are moving.The experiment consists of 2 parts. The participants might get qualified to part 2 based on their performance from the part 1. Specific instructions will be given before each task. These tests do not use distressing material and are not designed to be stressful or to catch you out.<br><b>What are the possible benefits of taking part? </b>Since we are only studying healthy volunteers, there is no intended clinical benefit to you from taking part in this study. <br><b>Are the procedure and results confidential?</b> All information that is collected about you during the course of this research will be kept anonymous. Demographic information (age, gender, etc.) will be paired with participants' IDs, which are not identifiable or traceable to individuals. We may share the anonymized research data we collect with other researchers. However, any shared data will not contain any personal information so that you cannot be recognised from it. In any sort of report we might publish we will not include information that will make it possible for other people to know your name or identify you in any way.<br>The information provided will be held in compliance with GDPR regulations. Cardiff University is the Data Controller and is committed to respecting and protecting your personal data in accordance with your expectations and Data Protection legislation. The University has a Data Protection Officer who can be contacted at <i>inforequest@cardiff.ac.uk</i>. Further information about Data Protection, including your rights and details about how to contact the Information Commissioner’s Office should you wish to complain, can be found at the following: <i>https://www.cardiff.ac.uk/public-information/policies-and-procedures/data-protection.</i> <br><b>What will happen to the results of the research study? </b>When data from volunteers are collected, they will be analysed and written up for publication in a scientific journal. Where appropriate, the results of this study will be presented at scientific conferences and the media. You will not be identified in any report or publication. <br><b>Who has reviewed the study?</b> This study has been reviewed and approved by the Cardiff University School of Psychology Ethics Committee.<br><b>Contact for Further Information: </b> Dominik Krzeminski (<i>krzeminskidk@cardiff.ac.uk</i>)<br><br>Press <b>SPACE</b> to proceed</div></div>",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,survey-html-form,3,35811,0.0-3.0,10505.595000024186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,survey-multi-choice,4,45330,0.0-4.0,9517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,html-keyboard-response,5,53131,0.0-5.0,7800.0,<div style='background: #d3d3d3;padding: 20px;'><p>In this experiment you need to be both fast and accurate.</p><p><b>Remember to be accurate first!</b> If you commit too many mistakes the experiment will end prematurely and you may not receive the payment.</p>Press <b>SPACE</b> to proceed</div>,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,html-keyboard-response,6,80500,0.0-6.0,27369.0,"<div style='background: #d3d3d3;padding: 20px;'><p>You will see dots moving towards four platforms on the edge. Two platforms are in red, and the other two are in blue. </p><h3> You need to decide towards which pair of coloured platforms (red or blue) the dots are moving on average.</h3><p>Use your right middle finger to press <b> p</b> for <font color='blue'> blue </font> (right).</br> Use your right index finger to press <b>k</b> for <font color='red'> red </font>(left).</p>Press <b>SPACE</b> to proceed</div>",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,html-keyboard-response,7,92904,0.0-7.0,12404.0,"<div style='background: #d3d3d3;padding: 20px;'><p>Welcome to the <b>PART 1</b> of the experiment.</p><br/><p>In this part, please focus only on WHITE dots on the screen and ignore the BLACK ones.</p><p>Let's start with some practice exercises.</p><p>Remember the task: decide towards which coloured platform (red or blue) the dots are moving on average</p>Press <b>SPACE</b> to proceed</div>",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RDK,8,96909,0.0-8.0-0.0,-1.0,,-1.0,,False,"k,p",k,4000.0,True,2.0,100.0,1.0,"90,90","0,0.8",0.0,2.0,7.0,2.0,140.0,550.0,"black,white",gray,2.0,4.0,2.0,13.351939799342723,"[17.81499999924563,13.240000000223517,13.305000000400469,13.334999996004626,13.360000011743978,13.940000004367903,12.779999990016222,13.390000007348135,13.225000002421439,13.334999996004626,13.414999993983656,13.275000004796311,13.420000002952293,13.399999996181577,13.204999995650724,13.280000013764948,13.644999999087304,14.269999985117465,16.70500001637265,8.629999996628612,13.314999989233911,13.96999999997206,13.29000000259839,12.654999998630956,13.375000009546056,13.229999982286245,13.420000002952293,13.29000000259839,13.305000000400469,13.425000011920929,13.359999982640147,13.365000020712614,13.334999996004626,13.225000002421439,13.405000005150214,13.359999982640147,13.299999991431832,13.355000002775341,13.220000022556633,13.349999993806705,13.399999996181577,13.464999996358529,13.230000011390075,13.324999978067353,13.420000002952293,13.215000013587996,13.424999982817098,13.395000016316772,13.254999998025596,13.355000002775341,13.254999998025596,13.40999998501502,13.260000006994233,13.440000009723008,13.229999982286245,13.380000018514693,13.429999991785735,13.225000002421439,13.340000004973263,13.379999989410862,13.295000011567026,13.399999996181577,13.344999984838068,13.270000024931505,13.32999998703599,13.37000000057742,13.334999996004626,13.355000002775341,13.41000001411885,13.240000000223517,13.469999976223335,13.29000000259839,13.215000013587996,13.440000009723008,13.339999975869432,13.235000020358711,13.314999989233911,13.505000009899959,13.154999993275851,13.479999994160607,13.33000001613982,13.240000000223517,13.44999999855645,13.384999998379499,13.294999982463196,13.269999995827675,13.295000011567026,13.299999991431832,13.500000000931323,13.310000009369105,13.175000000046566,16.459999984363094,13.340000004973263,10.290000005625188,13.505000009899959,13.204999995650724,13.29000000259839,16.390000004321337,10.529999999562278,13.084999984130263,13.460000016493723,13.349999993806705,13.240000000223517,13.384999998379499,13.314999989233911,13.310000009369105,13.379999989410862,13.360000011743978,13.305000000400469,13.364999991608784,13.365000020712614,13.244999980088323,13.41000001411885,13.29000000259839,13.27499997569248,13.485000003129244,13.300000020535663,13.229999982286245,16.555000009248033,10.264999989885837,13.315000018337741,13.24999998905696,13.44999999855645,13.280000013764948,13.349999993806705,13.344999984838068,13.260000006994233,16.470000002300367,13.240000000223517,10.385000001406297,13.29000000259839,13.375000009546056,13.37000000057742,13.139999995473772,13.40999998501502,13.445000018691644,13.214999984484166,13.405000005150214,13.240000000223517,13.40999998501502,13.355000002775341,13.334999996004626,13.29000000259839,13.375000009546056,13.319999998202547,13.390000007348135,13.269999995827675,13.485000003129244,13.175000000046566,13.444999989587814,13.349999993806705,13.230000011390075,13.399999996181577,13.460000016493723,13.24999998905696,13.349999993806705,13.430000020889565,13.134999986505136,13.505000009899959,13.294999982463196,13.25000001816079,13.349999993806705,13.424999982817098,13.17000002018176,13.494999991962686,13.325000007171184,13.334999996004626,13.294999982463196,13.295000011567026,13.475000014295802,13.324999978067353,13.345000013941899,13.245000009192154,13.28999997349456,13.400000025285408,13.314999989233911,13.420000002952293,13.305000000400469,13.245000009192154,13.424999982817098,13.234999991254881,13.380000018514693,13.379999989410862,13.305000000400469,13.33000001613982,13.319999998202547,13.424999982817098,13.315000018337741,13.349999993806705,13.355000002775341,13.240000000223517,13.464999996358529,13.299999991431832,13.739999994868413,12.985000008484349,13.355000002775341,13.149999984307215,13.455000007525086,13.340000004973263,13.240000000223517,13.435000000754371,13.314999989233911,13.345000013941899,13.284999993629754,13.219999993452802,13.495000021066517,13.339999975869432,13.365000020712614,13.399999996181577,13.084999984130263,13.565000001108274,13.185000017983839,13.340000004973263,13.504999980796129,13.189999997848645,13.425000011920929,13.16999999107793,13.460000016493723,13.424999982817098,13.254999998025596,13.310000009369105,13.29000000259839,13.524999987566844,13.345000013941899,13.405000005150214,13.189999997848645,13.379999989410862,13.325000007171184,13.364999991608784,13.204999995650724,13.355000002775341,15.970000007655472,10.719999991124496,13.445000018691644,13.319999998202547,13.334999996004626,13.199999986682087,13.585000007878989,13.204999995650724,13.375000009546056,13.134999986505136,13.514999998733401,13.29000000259839,13.390000007348135,16.295000008540228,10.31499999226071,13.399999996181577,13.340000004973263,13.269999995827675,13.319999998202547,13.364999991608784,13.33000001613982,13.390000007348135,13.254999998025596,13.314999989233911,13.360000011743978,13.454999978421256,13.390000007348135,13.145000004442409,13.295000011567026,13.429999991785735,13.325000007171184,13.414999993983656,13.305000000400469,13.219999993452802,13.32999998703599,13.440000009723008,13.305000000400469,13.355000002775341,13.379999989410862,13.310000009369105,13.475000014295802,13.204999995650724,13.344999984838068,13.375000009546056,13.52999999653548,13.104999990900978,13.380000018514693,13.244999980088323,13.400000025285408,13.28999997349456,13.500000000931323,13.09000002220273,13.40999998501502,13.445000018691644,13.219999993452802,13.294999982463196,13.425000011920929,13.299999991431832,13.295000011567026,13.424999982817098,13.384999998379499,13.275000004796311,13.345000013941899,13.29000000259839,13.344999984838068,13.349999993806705,13.320000027306378,13.554999983171001]",299.0,960.0,468.5,False,20.0,20.0,black,1.0,True,2.0,"45,-45",black,1920.0,937.0,,
9,html-keyboard-response,9,97461,0.0-8.0-1.0,,<h2 style='background: white;padding: 10px;'> <font color='red'> Wrong. </font>  </h2>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
